nSeq;I1;I2;O1;O2;A5;A6
11;0;0;0;0;629;65
12;0;0;0;0;622;65
13;0;0;0;0;623;65
14;0;0;0;0;625;65
15;0;0;0;0;621;65
0;0;0;0;0;618;64
1;0;0;0;0;606;64
2;0;0;0;0;626;64
3;0;0;0;0;602;63
4;0;0;0;0;582;63
5;0;0;0;0;613;63
6;0;0;0;0;635;64
7;0;0;0;0;641;64
8;0;0;0;0;628;64
9;0;0;0;0;627;64
10;0;0;0;0;625;64
11;0;0;0;0;619;64
12;0;0;0;0;611;64
13;0;0;0;0;614;63
14;0;0;0;0;618;63
15;0;0;0;0;613;63
0;0;0;0;0;606;64
1;0;0;0;0;613;63
2;0;0;0;0;621;64
3;0;0;0;0;619;63
4;0;0;0;0;615;64
5;0;0;0;0;619;64
6;0;0;0;0;620;65
7;0;0;0;0;614;64
8;0;0;0;0;616;64
9;0;0;0;0;622;64
10;0;0;0;0;630;64
11;0;0;0;0;628;64
12;0;0;0;0;619;64
13;0;0;0;0;621;64
14;0;0;0;0;621;64
15;0;0;0;0;622;64
0;0;0;0;0;621;64
1;0;0;0;0;631;64
2;0;0;0;0;633;64
3;0;0;0;0;628;63
4;0;0;0;0;624;64
5;0;0;0;0;629;63
6;0;0;0;0;631;63
7;0;0;0;0;622;63
8;0;0;0;0;615;63
9;0;0;0;0;622;63
10;0;0;0;0;631;63
11;0;0;0;0;632;62
12;0;0;0;0;627;63
13;0;0;0;0;627;62
14;0;0;0;0;628;62
15;0;0;0;0;624;62
0;0;0;0;0;622;61
1;0;0;0;0;622;61
2;0;0;0;0;625;61
3;0;0;0;0;632;60
4;0;0;0;0;632;60
5;0;0;0;0;682;59
6;0;0;0;0;640;59
7;0;0;0;0;547;58
8;0;0;0;0;598;59
9;0;0;0;0;619;59
10;0;0;0;0;626;59
11;0;0;0;0;612;59
12;0;0;0;0;617;59
13;0;0;0;0;630;59
14;0;0;0;0;628;59
15;0;0;0;0;622;59
0;0;0;0;0;617;59
1;0;0;0;0;621;59
2;0;0;0;0;623;59
3;0;0;0;0;616;59
4;0;0;0;0;617;60
5;0;0;0;0;625;59
6;0;0;0;0;631;59
7;0;0;0;0;627;59
8;0;0;0;0;617;59
9;0;0;0;0;622;59
10;0;0;0;0;629;60
11;0;0;0;0;627;59
12;0;0;0;0;623;59
13;0;0;0;0;627;59
14;0;0;0;0;630;60
15;0;0;0;0;623;59
0;0;0;0;0;613;60
1;0;0;0;0;613;59
2;0;0;0;0;615;60
3;0;0;0;0;610;59
4;0;0;0;0;619;60
5;0;0;0;0;619;60
6;0;0;0;0;625;60
7;0;0;0;0;624;60
8;0;0;0;0;616;61
9;0;0;0;0;628;60
10;0;0;0;0;647;60
11;0;0;0;0;638;60
12;0;0;0;0;628;60
13;0;0;0;0;624;59
14;0;0;0;0;595;59
15;0;0;0;0;603;59
0;0;0;0;0;604;59
1;0;0;0;0;618;59
2;0;0;0;0;614;59
3;0;0;0;0;610;59
4;0;0;0;0;608;59
5;0;0;0;0;619;59
6;0;0;0;0;619;59
7;0;0;0;0;614;59
8;0;0;0;0;609;59
9;0;0;0;0;619;59
10;0;0;0;0;626;60
11;0;0;0;0;626;60
12;0;0;0;0;628;60
13;0;0;0;0;634;60
14;0;0;0;0;631;60
15;0;0;0;0;618;60
0;0;0;0;0;611;61
1;0;0;0;0;618;60
2;0;0;0;0;624;61
3;0;0;0;0;620;60
4;0;0;0;0;614;61
5;0;0;0;0;625;61
6;0;0;0;0;615;61
7;0;0;0;0;619;61
8;0;0;0;0;615;62
9;0;0;0;0;620;61
10;0;0;0;0;631;62
11;0;0;0;0;636;62
12;0;0;0;0;634;62
13;0;0;0;0;644;63
14;0;0;0;0;647;62
15;0;0;0;0;628;62
0;0;0;0;0;621;62
1;0;0;0;0;612;62
2;0;0;0;0;626;62
3;0;0;0;0;627;62
4;0;0;0;0;628;62
5;0;0;0;0;635;62
6;0;0;0;0;628;62
7;0;0;0;0;622;61
8;0;0;0;0;616;61
9;0;0;0;0;621;61
10;0;0;0;0;638;61
11;0;0;0;0;620;60
12;0;0;0;0;623;60
13;0;0;0;0;620;60
14;0;0;0;0;622;60
15;0;0;0;0;589;60
0;0;0;0;0;685;60
1;0;0;0;0;580;60
2;0;0;0;0;612;60
3;0;0;0;0;624;60
4;0;0;0;0;612;60
5;0;0;0;0;628;60
6;0;0;0;0;639;60
7;0;0;0;0;639;60
8;0;0;0;0;630;60
9;0;0;0;0;632;60
10;0;0;0;0;634;60
11;0;0;0;0;628;60
12;0;0;0;0;621;60
13;0;0;0;0;620;60
14;0;0;0;0;622;60
15;0;0;0;0;616;60
0;0;0;0;0;611;60
1;0;0;0;0;622;60
2;0;0;0;0;627;60
3;0;0;0;0;626;60
4;0;0;0;0;624;60
5;0;0;0;0;624;60
6;0;0;0;0;614;60
7;0;0;0;0;608;60
8;0;0;0;0;603;60
9;0;0;0;0;618;61
10;0;0;0;0;625;61
11;0;0;0;0;627;60
12;0;0;0;0;621;60
13;0;0;0;0;622;61
14;0;0;0;0;622;61
15;0;0;0;0;622;60
0;0;0;0;0;623;61
1;0;0;0;0;628;60
2;0;0;0;0;631;61
3;0;0;0;0;623;61
4;0;0;0;0;617;61
5;0;0;0;0;623;61
6;0;0;0;0;628;61
7;0;0;0;0;628;59
8;0;0;0;0;626;59
9;0;0;0;0;627;58
10;0;0;0;0;627;57
11;0;0;0;0;611;56
12;0;0;0;0;598;56
13;0;0;0;0;593;56
14;0;0;0;0;590;54
15;0;0;0;0;584;56
0;0;0;0;0;591;56
